
id,relevance
1,1.83714903968
4,1.98388800784
5,2.29034118606
6,2.66384022456
7,2.31567966747
8,2.1319371154
10,2.77611710866
11,2.63457336481
12,2.5853694185
13,2.80152017933
14,2.79487566955
15,2.43069388302
19,2.38173599143
22,2.78878972518
24,2.72984604916
25,2.29903199815
26,2.29563904583
28,2.56097818971
29,1.99215877913
30,1.92245820904
31,2.80130094477
32,2.63333050682
33,1.96738910092
36,2.53197929023
39,2.28344300285
40,2.82352204919
41,2.73930577379
42,2.62965145053
43,2.76514925349
44,2.30970364538
45,2.63812160902
46,2.51522662673
47,2.09534800544
49,2.65139645988
50,2.67663940966
52,2.23983279286
53,2.10711272046
54,2.17455343125
55,2.49870203206
56,2.63667715957
57,1.9735061862
58,2.08463738321
59,2.2834446873
60,1.89836686973
61,2.23701461852
62,2.54706085556
63,2.7482472233
64,2.87803083596
66,2.82946953553
67,2.50011442102
68,2.06177884786
70,1.75900876492
71,2.56923992888
72,2.04944228624
73,1.84368651652
74,1.83365532755
76,2.18882511836
77,2.08683872785
78,1.83735560877
79,1.67619386648
80,2.02830934315
82,2.53966761073
83,2.42833781461
84,1.86035436209
86,2.42330282786
87,2.37989143686
89,2.13004242104
91,2.0118181748
93,1.54440913565
94,2.13067064836
95,2.1204360049
96,1.54106445035
97,1.84537453604
98,2.20803413037
99,1.69548225511
100,2.73501495043
102,2.10900054501
103,1.77875389733
104,1.64575248891
107,2.35534717927
108,2.00534178895
109,2.78387457643
110,2.40539321078
111,2.58506330898
112,2.16685832806
115,2.09352124984
116,2.62165331992
118,2.69375723656
119,2.40259259999
121,2.52243132985
124,2.67202467168
126,2.49079890423
128,1.82622089155
129,2.70593710764
130,2.49944806401
131,2.13463642662
132,2.12634626508
133,2.82669898834
134,2.19558592923
135,2.27803536507
137,2.4542210449
139,2.73417736974
140,2.26152073103
141,1.86884652061
142,1.94038278864
144,2.46921731884
145,2.85547456441
146,1.90748297804
148,1.78940826924
151,2.64794344609
152,2.08507895676
153,2.25004843728
154,1.9284033139
155,1.90167072171
